state,county,Date,positive_pct,transmission_level,dose_1_pct,fully_pct,metro
Illinois,Lawrence County,2022-03-09,1.35,low,47.2,40.7,Non-metro
Wisconsin,Kenosha County,2022-03-09,3.69,substantial,66.9,59.5,Metro
Illinois,Putnam County,2022-03-09,1.03,moderate,62.5,57.6,Non-metro
Ohio,Adams County,2022-03-09,2.87,substantial,38.7,34.6,Non-metro
Ohio,Trumbull County,2022-03-09,3.99,moderate,58.8,54.3,Metro
Indiana,Martin County,2022-03-09,6.9,moderate,48.7,45,Non-metro
Kansas,Labette County,2022-03-09,4.55,substantial,54.8,49,Non-metro
Wisconsin,Adams County,2022-03-09,1.75,substantial,60.9,56.3,Non-metro
South Dakota,Roberts County,2022-03-09,3.12,low,88,72.6,Non-metro
Indiana,Franklin County,2022-03-09,4.92,moderate,42.7,37.3,Non-metro
Illinois,Knox County,2022-03-09,1.02,moderate,64.5,58.8,Non-metro
Indiana,Owen County,2022-03-09,2.84,moderate,46,42.2,Metro
Missouri,Monroe County,2022-03-09,7.69,substantial,50.9,44,Non-metro
Kansas,Stevens County,2022-03-09,0,substantial,44.3,38,Non-metro
Illinois,Cumberland County,2022-03-09,1.59,low,42.2,38.9,Non-metro
Indiana,Daviess County,2022-03-09,2.62,moderate,36,32.8,Non-metro
Kansas,Crawford County,2022-03-09,3.85,substantial,52.8,46.7,Non-metro
Ohio,Butler County,2022-03-09,3.69,high,60.5,56.4,Metro
Indiana,Starke County,2022-03-09,5.05,substantial,40.9,36.8,Non-metro
Ohio,Portage County,2022-03-09,2.09,substantial,60.2,56.9,Metro
Illinois,Livingston County,2022-03-09,0.75,substantial,54.8,50.6,Non-metro
Michigan,Emmet County,2022-03-09,3.04,substantial,74.9,72,Non-metro
Missouri,Barton County,2022-03-09,5.41,moderate,38,32.9,Non-metro
Minnesota,Redwood County,2022-03-09,0.39,moderate,56.5,53.8,Non-metro
Kansas,Morris County,2022-03-09,1.64,moderate,61.4,55.6,Non-metro
Missouri,McDonald County,2022-03-09,3.88,high,42.2,32.7,Metro
Kansas,Jefferson County,2022-03-09,0.34,moderate,61.2,54,Metro
Ohio,Warren County,2022-03-09,4.09,substantial,67.3,63.6,Metro
Wisconsin,Price County,2022-03-09,0.83,low,65.5,61.8,Non-metro
Missouri,Cedar County,2022-03-09,2.02,moderate,35.8,31.8,Non-metro
Illinois,Coles County,2022-03-09,1.97,substantial,50.1,45.8,Non-metro
Kansas,Brown County,2022-03-09,1.1,substantial,67.6,60.3,Non-metro
Nebraska,Hitchcock County,2022-03-09,3.6294571536429,low,0,33.7,Non-metro
Indiana,LaPorte County,2022-03-09,2.09,moderate,61.9,55.6,Metro
Wisconsin,Jackson County,2022-03-09,3.54,moderate,53.3,49.6,Non-metro
Kansas,Woodson County,2022-03-09,0,moderate,47.2,41.8,Non-metro
Michigan,Mackinac County,2022-03-09,14.47,high,82.9,74.6,Non-metro
Wisconsin,Menominee County,2022-03-09,2.35,substantial,83.3,79.3,Non-metro
Illinois,Ford County,2022-03-09,0.68,moderate,61.4,57.4,Metro
Michigan,Gratiot County,2022-03-09,3.87,high,46.4,45.9,Non-metro
Indiana,Knox County,2022-03-09,6.32,substantial,53.7,49,Non-metro
North Dakota,Foster County,2022-03-09,3.85,high,59.7,54.2,Non-metro
Illinois,Jo Daviess County,2022-03-09,1.99,substantial,88.8,77.1,Non-metro
Kansas,Bourbon County,2022-03-09,7.89,moderate,40.8,36.5,Non-metro
